# 1:r 2:z 3:nm 4:na 5:Em 6:Ea
174.60 -65.57 0.00e+00 0.00e+00 0.00e+00 0.00e+00
172.15 -73.02 0.00e+00 2.19e+07 0.00e+00 0.00e+00
169.82 -79.80 0.00e+00 2.37e+07 0.00e+00 0.00e+00
167.54 -86.29 0.00e+00 1.60e+08 0.00e+00 0.00e+00
166.28 -89.87 0.00e+00 0.00e+00 0.00e+00 0.00e+00
165.71 -91.49 0.00e+00 0.00e+00 0.00e+00 0.00e+00
165.22 -92.88 0.00e+00 0.00e+00 0.00e+00 0.00e+00
164.69 -94.40 0.00e+00 0.00e+00 0.00e+00 0.00e+00
164.26 -95.63 0.00e+00 0.00e+00 0.00e+00 0.00e+00
163.87 -96.73 0.00e+00 0.00e+00 0.00e+00 0.00e+00
163.46 -97.92 0.00e+00 0.00e+00 0.00e+00 0.00e+00
163.10 -98.96 0.00e+00 1.63e+10 0.00e+00 0.00e+00
162.86 -99.65 0.00e+00 2.19e+10 0.00e+00 0.00e+00
162.71 -100.08 0.00e+00 2.19e+10 0.00e+00 0.00e+00

177.55 -57.39 0.00e+00 0.00e+00 0.00e+00 0.00e+00
175.15 -65.51 0.00e+00 0.00e+00 0.00e+00 0.00e+00
172.77 -72.95 0.00e+00 2.19e+07 0.00e+00 0.00e+00
170.51 -79.68 0.00e+00 2.37e+07 0.00e+00 0.00e+00
168.30 -86.11 0.00e+00 1.60e+08 0.00e+00 0.00e+00
167.08 -89.64 0.00e+00 0.00e+00 0.00e+00 0.00e+00
166.53 -91.22 0.00e+00 0.00e+00 0.00e+00 0.00e+00
166.06 -92.59 0.00e+00 0.00e+00 0.00e+00 0.00e+00
165.56 -94.06 0.00e+00 0.00e+00 0.00e+00 0.00e+00
165.15 -95.25 0.00e+00 0.00e+00 0.00e+00 0.00e+00
164.78 -96.32 0.00e+00 2.90e+09 0.00e+00 0.00e+00
164.39 -97.46 0.00e+00 2.20e+10 0.00e+00 0.00e+00
164.06 -98.45 0.00e+00 5.40e+09 0.00e+00 0.00e+00
163.84 -99.10 0.00e+00 0.00e+00 0.00e+00 0.00e+00
163.70 -99.51 0.00e+00 0.00e+00 0.00e+00 0.00e+00

178.04 -57.34 0.00e+00 0.00e+00 0.00e+00 0.00e+00
175.71 -65.45 0.00e+00 0.00e+00 0.00e+00 0.00e+00
173.40 -72.85 0.00e+00 2.19e+07 0.00e+00 0.00e+00
171.20 -79.55 0.00e+00 2.37e+07 0.00e+00 0.00e+00
169.06 -85.91 0.00e+00 1.60e+08 0.00e+00 0.00e+00
167.89 -89.38 0.00e+00 0.00e+00 0.00e+00 0.00e+00
167.36 -90.94 0.00e+00 0.00e+00 0.00e+00 0.00e+00
166.91 -92.27 0.00e+00 0.00e+00 0.00e+00 0.00e+00
166.43 -93.70 0.00e+00 0.00e+00 0.00e+00 0.00e+00
166.04 -94.86 0.00e+00 0.00e+00 0.00e+00 0.00e+00
165.70 -95.89 0.00e+00 0.00e+00 0.00e+00 0.00e+00
165.33 -96.99 0.00e+00 0.00e+00 0.00e+00 0.00e+00
165.02 -97.93 0.00e+00 0.00e+00 0.00e+00 0.00e+00
164.81 -98.55 0.00e+00 0.00e+00 0.00e+00 0.00e+00
164.68 -98.94 0.00e+00 0.00e+00 0.00e+00 0.00e+00

178.52 -57.29 0.00e+00 0.00e+00 0.00e+00 0.00e+00
176.27 -65.38 0.00e+00 0.00e+00 0.00e+00 0.00e+00
174.03 -72.75 0.00e+00 2.19e+07 0.00e+00 0.00e+00
171.90 -79.40 0.00e+00 2.37e+07 0.00e+00 0.00e+00
169.84 -85.69 0.00e+00 1.60e+08 0.00e+00 0.00e+00
168.71 -89.11 0.00e+00 0.00e+00 0.00e+00 0.00e+00
168.20 -90.63 0.00e+00 0.00e+00 0.00e+00 0.00e+00
167.77 -91.93 0.00e+00 0.00e+00 0.00e+00 0.00e+00
167.31 -93.33 0.00e+00 0.00e+00 0.00e+00 0.00e+00
166.94 -94.45 0.00e+00 0.00e+00 0.00e+00 0.00e+00
166.62 -95.44 0.00e+00 0.00e+00 0.00e+00 0.00e+00
166.27 -96.50 0.00e+00 0.00e+00 0.00e+00 0.00e+00
165.98 -97.40 0.00e+00 0.00e+00 0.00e+00 0.00e+00
165.78 -97.99 0.00e+00 0.00e+00 0.00e+00 0.00e+00
165.66 -98.35 0.00e+00 0.00e+00 0.00e+00 0.00e+00

179.02 -57.23 0.00e+00 0.00e+00 0.00e+00 0.00e+00
176.84 -65.29 0.00e+00 0.00e+00 0.00e+00 0.00e+00
174.67 -72.63 0.00e+00 2.19e+07 0.00e+00 0.00e+00
172.61 -79.23 0.00e+00 2.37e+07 0.00e+00 0.00e+00
170.62 -85.45 0.00e+00 1.60e+08 0.00e+00 0.00e+00
169.53 -88.82 0.00e+00 0.00e+00 0.00e+00 0.00e+00
169.05 -90.31 0.00e+00 0.00e+00 0.00e+00 0.00e+00
168.64 -91.58 0.00e+00 0.00e+00 0.00e+00 0.00e+00
168.20 -92.94 0.00e+00 0.00e+00 0.00e+00 0.00e+00
167.85 -94.02 0.00e+00 0.00e+00 0.00e+00 0.00e+00
167.54 -94.98 0.00e+00 0.00e+00 0.00e+00 0.00e+00
167.21 -95.99 0.00e+00 0.00e+00 0.00e+00 0.00e+00
166.94 -96.85 0.00e+00 0.00e+00 0.00e+00 0.00e+00
166.76 -97.42 0.00e+00 0.00e+00 0.00e+00 0.00e+00
166.65 -97.77 0.00e+00 0.00e+00 0.00e+00 0.00e+00

179.52 -57.16 0.00e+00 0.00e+00 0.00e+00 0.00e+00
177.42 -65.20 0.00e+00 0.00e+00 0.00e+00 0.00e+00
175.32 -72.50 0.00e+00 2.19e+07 0.00e+00 0.00e+00
173.33 -79.05 0.00e+00 2.37e+07 0.00e+00 0.00e+00
171.40 -85.20 0.00e+00 1.60e+08 0.00e+00 0.00e+00
170.36 -88.51 0.00e+00 0.00e+00 0.00e+00 0.00e+00
169.90 -89.96 0.00e+00 0.00e+00 0.00e+00 0.00e+00
169.51 -91.21 0.00e+00 0.00e+00 0.00e+00 0.00e+00
169.09 -92.53 0.00e+00 0.00e+00 0.00e+00 0.00e+00
168.76 -93.58 0.00e+00 0.00e+00 0.00e+00 0.00e+00
168.47 -94.50 0.00e+00 0.00e+00 0.00e+00 0.00e+00
168.16 -95.48 0.00e+00 0.00e+00 0.00e+00 0.00e+00
167.90 -96.30 0.00e+00 0.00e+00 0.00e+00 0.00e+00
167.73 -96.84 0.00e+00 0.00e+00 0.00e+00 0.00e+00
167.63 -97.17 0.00e+00 0.00e+00 0.00e+00 0.00e+00

180.02 -57.08 0.00e+00 0.00e+00 0.00e+00 0.00e+00
178.00 -65.09 0.00e+00 0.00e+00 0.00e+00 0.00e+00
175.97 -72.36 0.00e+00 2.19e+07 0.00e+00 0.00e+00
174.05 -78.86 0.00e+00 2.37e+07 0.00e+00 0.00e+00
172.20 -84.93 0.00e+00 1.60e+08 0.00e+00 0.00e+00
171.20 -88.18 0.00e+00 0.00e+00 0.00e+00 0.00e+00
170.75 -89.60 0.00e+00 0.00e+00 0.00e+00 0.00e+00
170.38 -90.81 0.00e+00 0.00e+00 0.00e+00 0.00e+00
169.98 -92.10 0.00e+00 0.00e+00 0.00e+00 0.00e+00
169.67 -93.12 0.00e+00 0.00e+00 0.00e+00 0.00e+00
169.40 -94.01 0.00e+00 0.00e+00 0.00e+00 0.00e+00
169.11 -94.95 0.00e+00 0.00e+00 0.00e+00 0.00e+00
168.86 -95.74 0.00e+00 0.00e+00 0.00e+00 0.00e+00
